Emrakul,Halimar Depth,Serum Powder,Shelldock Isle,Shadwborn Apostle,Max Mulliagan,Exile Emrakul,Exile Shelldock Isle,Lose,Turn 4,Turn 5,Turn 4 + Turn 5 - Lose,Turn 6,Turn 7,Turn 8,Turn 9
3,2,0,4,47,3,0,2,19.9,8.64,19.0099,7.7499,18.59,16.1899,11.51,6.16
3,3,1,4,45,2,2,3,22.4399,10.2,19.97,7.7301,19.78,14.67,8.39,4.56999
3,2,2,4,45,3,1,3,20.63,9.43,18.93,7.73,17.43,15.35,11.4599,6.77
4,3,1,4,44,2,2,3,21.7099,10.05,19.38,7.7201,19.05,14.89,9.24,5.68
3,4,1,4,44,3,1,0,21.55,10.03,19.23,7.71,18.09,15.16,10.4,5.54
3,2,2,4,45,2,2,3,21.7599,9.83,19.62,7.6901,19,14.94,9.26,5.6
4,4,1,4,43,2,3,3,22.18,10.4,19.47,7.69,19.42,14.56,8.78,5.19
4,3,1,4,44,3,1,1,20.61,9.48,18.81,7.68,17.65,15.28,11.39,6.77
4,4,1,4,43,2,2,3,22.14,10.23,19.57,7.66,19.38,14.84,8.66,5.19
4,4,3,4,41,3,2,1,21.78,10.47,18.97,7.66,17.15,14.46,10.66,6.51
3,2,0,4,47,3,0,3,19.97,8.64999,18.98,7.65999,18.47,16.2599,11.58,6.09
4,3,1,4,44,2,3,2,21.78,10.09,19.33,7.64,19.08,14.8999,9.12,5.68999
4,2,1,4,45,3,3,3,19.72,8.85,18.5099,7.6399,17.58,15.72,12.1399,7.47
3,4,1,4,44,3,1,1,21.58,10.08,19.13,7.63,17.96,15.26,10.31,5.68
3,4,2,4,43,3,0,2,21.95,10.37,19.18,7.6,17.9,14.7,10.24,5.66
3,3,4,4,42,2,2,3,23.87,11.44,19.96,7.53,17.6699,13.07,8.43,5.56
3,4,4,4,41,3,2,2,23.34,11.1299,19.72,7.5099,16.9199,13.51,9.55,5.83
4,3,1,4,44,3,0,1,20.71,9.55,18.66,7.5,17.43,15.3799,11.4599,6.8
3,4,1,4,44,3,0,1,21.59,9.89,19.17,7.47,18.22,15.09,10.38,5.66
4,3,3,4,42,3,2,0,21.6,10.18,18.88,7.46,16.89,14.4999,11,6.95
4,4,3,4,41,3,1,3,21.99,10.4599,18.98,7.4499,17.02,14.2999,10.56,6.69
4,3,1,4,44,2,2,2,21.9,10.08,19.25,7.43,19.17,14.87,9.13,5.60999
4,2,3,4,43,2,3,3,21.67,10.03,19.06,7.42,17.6699,14.41,10.17,6.99
4,3,3,4,42,3,2,1,21.51,10.12,18.79,7.4,16.74,14.71,11.11,7.02
3,3,3,4,43,3,1,3,22.23,10.48,19.13,7.38,17.02,14.46,10.4899,6.18999
3,2,2,4,45,3,1,2,20.78,9.37,18.79,7.38,17.62,15.2299,11.4,6.8
4,4,3,4,41,3,0,3,21.95,10.4899,18.84,7.3799,17.04,14.37,10.56,6.74
3,2,2,4,45,3,2,0,20.83,9.33,18.87,7.37,17.51,15.43,11.4599,6.56999
4,4,3,4,41,3,2,0,21.94,10.4899,18.82,7.3699,17.13,14.36,10.62,6.64
